Recipe_Name,Ingredients,Label
Mutton Rogan Josh,"butter, chicken, green chili, lemon juice, mushroom, spices",Non-Veg
Vegetable Pulao,"egg, garlic, green chili, palak, rice",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Keema Pav,"butter, chicken, chole, paneer, poha, potato, yogurt",Non-Veg
Chicken Soup,"chole, egg, ginger, rajma, rice, soy sauce",Non-Veg
Chicken Cutlet,"bread, eggs, lemon juice, mayonnaise, potato, rajma, rice, spices",Non-Veg
Vegetable Pulao,"bread, butter, chole, egg, lemon juice, onion, pasta, potato",Non-Veg
Keema Pav,"curd, green chili, mayonnaise, rajma, spices, tomato",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Mutton Rogan Josh,"bread, curd, lemon juice, mushroom, potato",Non-Veg
Keema Pav,"ginger, lemon juice, mayonnaise, mushroom, poha",Non-Veg
Fish Curry,"chicken, curd, mayonnaise, poha, spices, yogurt",Non-Veg
Grilled Veggie Wrap,"curd, mushroom, pepper, rice, salt, spices",Veg
Veg Biryani,"chicken, eggs, mushroom, pasta, rice",Non-Veg
Grilled Veggie Wrap,"chole, egg, eggs, lemon juice, mayonnaise, pepper, soy sauce, spices",Non-Veg
Grilled Veggie Wrap,"egg, mushroom, oil, onion, pepper, rajma, salt",Non-Veg
Matar Paneer,"bread, curd, egg, mushroom, oil, palak, paneer",Non-Veg
Mutton Rogan Josh,"capsicum, ginger, green chili, lemon juice, mustard seeds, salt",Non-Veg
Chicken Soup,"bread, chicken, chole, ginger, onion, rice",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Bhindi Fry,"bread, mayonnaise, mustard seeds, onion, potato",Veg
Mutton Rogan Josh,"chicken, chole, egg, oil, poha, tomato, yogurt",Non-Veg
Dal Tadka,"ginger, palak, paneer, pepper, poha, rice, tomato",Veg
Bhindi Fry,"eggs, green chili, pasta, pepper, potato, salt, soy sauce, yogurt",Non-Veg
Upma,"ginger, green chili, pepper, potato, rajma, tomato",Veg
Chicken Noodles,"capsicum, chicken, ginger, mushroom, mustard seeds, palak, rajma, salt",Non-Veg
Chicken Soup,"butter, capsicum, chole, garlic, palak, rice, spices",Non-Veg
Fish Curry,"butter, mushroom, oil, spices, tomato",Non-Veg
Chicken Cutlet,"curd, egg, lemon juice, mayonnaise, salt, spices",Non-Veg
Aloo Paratha,"chole, garlic, mushroom, oil, pepper, rice, salt, yogurt",Veg
Veg Biryani,"chole, egg, garlic, palak, pasta, potato, soy sauce",Non-Veg
Keema Pav,"egg, lemon juice, pasta, poha, rajma, rice",Non-Veg
Chicken Soup,"egg, garlic, ginger, green chili, paneer, rajma, tomato, yogurt",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Matar Paneer,"mayonnaise, mushroom, mustard seeds, rajma, soy sauce",Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Chicken Soup,"chicken, chole, egg, garlic, pasta, yogurt",Non-Veg
Butter Chicken,"capsicum, egg, eggs, garlic, mustard seeds, paneer, pepper, spices",Non-Veg
Aloo Paratha,"chicken, mayonnaise, mushroom, mustard seeds, poha, soy sauce",Veg
Grilled Veggie Wrap,"bread, butter, capsicum, curd, lemon juice, mustard seeds, rajma",Veg
Fish Curry,"bread, butter, paneer, potato, soy sauce",Non-Veg
Vegetable Pulao,"capsicum, chicken, eggs, mustard seeds, paneer, poha, spices, yogurt",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Mix Veg Curry,"capsicum, mustard seeds, rajma, spices, yogurt",Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Egg Bhurji,"chicken, chole, curd, egg, mushroom, pepper, tomato",Non-Veg
Aloo Paratha,"capsicum, chicken, egg, onion, pepper, rice",Non-Veg
Fish Fry,"green chili, paneer, pepper, poha, salt",Non-Veg
Aloo Paratha,"chicken, green chili, lemon juice, mayonnaise, poha, rajma, rice",Veg
Keema Pav,"chicken, onion, paneer, rajma, soy sauce, tomato",Non-Veg
Keema Pav,"bread, capsicum, egg, green chili, mayonnaise, yogurt",Non-Veg
Dal Tadka,"capsicum, lemon juice, mayonnaise, pepper, spices, yogurt",Veg
Chicken Cutlet,"butter, chole, ginger, mustard seeds, pepper, potato, soy sauce, tomato",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Butter Chicken,"bread, lemon juice, mayonnaise, pasta, poha",Non-Veg
Matar Paneer,"eggs, lemon juice, oil, palak, potato, rice",Non-Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Chicken Cutlet,"bread, butter, mayonnaise, mustard seeds, poha",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Grilled Veggie Wrap,"bread, eggs, ginger, green chili, lemon juice, onion, pasta",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Mutton Rogan Josh,"curd, mustard seeds, poha, potato, salt, spices",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Matar Paneer,"capsicum, mushroom, pepper, poha, soy sauce, tomato",Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Prawn Masala,"bread, capsicum, eggs, garlic, mustard seeds, oil, paneer, rice",Non-Veg
Bhindi Fry,"butter, chicken, garlic, oil, pasta, pepper, salt, yogurt",Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Vegetable Pulao,"chole, curd, ginger, mayonnaise, pasta, poha, spices",Veg
Upma,"ginger, lemon juice, mustard seeds, poha, soy sauce, spices",Veg
Fish Fry,"eggs, ginger, lemon juice, pasta, potato, rice, tomato",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Egg Bhurji,"eggs, garlic, lemon juice, mustard seeds, poha, rajma, soy sauce",Non-Veg
Rajma,"butter, chicken, green chili, lemon juice, rajma, rice",Veg
Butter Chicken,"butter, curd, paneer, pepper, salt, yogurt",Non-Veg
Chole,"capsicum, chicken, garlic, ginger, green chili, onion, potato, yogurt",Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Veg Biryani,"butter, chicken, palak, rajma, spices",Veg
Cheese Sandwich,"ginger, paneer, pasta, pepper, potato, rice",Veg
Chicken Noodles,"chole, egg, green chili, poha, salt",Non-Veg
Mix Veg Curry,"butter, eggs, ginger, mushroom, poha",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Prawn Masala,"bread, butter, green chili, lemon juice, pasta, potato, soy sauce",Non-Veg
Prawn Masala,"bread, chicken, eggs, garlic, lemon juice, mushroom",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Butter Chicken,"ginger, lemon juice, mayonnaise, poha, rice",Non-Veg
Bhindi Fry,"butter, chole, garlic, lemon juice, potato, rajma, salt, soy sauce",Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Fish Curry,"curd, egg, mushroom, onion, potato, rajma, tomato",Non-Veg
Egg Bhurji,"butter, ginger, mayonnaise, mustard seeds, oil, onion",Non-Veg
Prawn Masala,"butter, curd, green chili, oil, onion, palak, poha",Non-Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Chicken Noodles,"garlic, ginger, lemon juice, mushroom, mustard seeds, pepper, poha, rice",Non-Veg
Keema Pav,"capsicum, garlic, lemon juice, mushroom, onion, rice, soy sauce",Non-Veg
Matar Paneer,"garlic, mayonnaise, palak, pasta, pepper",Veg
Cheese Sandwich,"butter, lemon juice, oil, onion, paneer, poha, potato, rice",Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Egg Bhurji,"bread, capsicum, garlic, oil, poha",Non-Veg
Prawn Masala,"chicken, ginger, mustard seeds, potato, rajma, spices",Non-Veg
Grilled Veggie Wrap,"curd, egg, mushroom, onion, pepper, potato, spices",Non-Veg
Chole,"bread, butter, chicken, green chili, mayonnaise, mustard seeds, paneer, poha",Veg
Egg Bhurji,"butter, mayonnaise, oil, palak, tomato",Non-Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Dal Tadka,"capsicum, chole, eggs, onion, paneer, rajma, tomato, yogurt",Non-Veg
Chole,"curd, egg, garlic, oil, palak, poha, potato, spices",Non-Veg
Chole,"chicken, chole, oil, palak, pasta",Veg
Prawn Masala,"bread, garlic, lemon juice, onion, palak, rice, salt",Non-Veg
Grilled Veggie Wrap,"capsicum, chole, paneer, poha, rice, tomato, yogurt",Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Aloo Paratha,"chole, egg, onion, pepper, potato",Non-Veg
Dal Tadka,"chicken, eggs, pasta, poha, yogurt",Non-Veg
Rajma,"capsicum, chole, curd, mayonnaise, mustard seeds, onion, pasta, rice",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Mutton Rogan Josh,"eggs, mushroom, mustard seeds, potato, soy sauce",Non-Veg
Upma,"bread, capsicum, garlic, lemon juice, mustard seeds, palak, potato, soy sauce",Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Grilled Veggie Wrap,"green chili, mayonnaise, mushroom, rajma, salt, spices",Veg
Aloo Paratha,"butter, paneer, pepper, potato, tomato, yogurt",Veg
Chicken Soup,"chicken, egg, ginger, lemon juice, mayonnaise, mushroom, paneer, tomato",Non-Veg
Upma,"chicken, chole, green chili, oil, pasta, pepper, rice, yogurt",Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Prawn Masala,"capsicum, curd, eggs, paneer, pasta, poha",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Dal Tadka,"capsicum, eggs, green chili, pasta, pepper, yogurt",Non-Veg
Bhindi Fry,"chicken, eggs, green chili, palak, rajma, salt, spices, tomato",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Bhindi Fry,"chicken, chole, ginger, lemon juice, mayonnaise, onion, rajma",Veg
Mix Veg Curry,"butter, eggs, mushroom, mustard seeds, palak, spices",Non-Veg
Upma,"capsicum, chole, mushroom, oil, rajma",Veg
Prawn Masala,"egg, garlic, green chili, mayonnaise, pasta, poha, rajma, salt",Non-Veg
Keema Pav,"chicken, curd, ginger, mayonnaise, palak, pepper",Non-Veg
Fish Curry,"butter, chole, paneer, salt, spices, tomato",Non-Veg
Bhindi Fry,"bread, chole, curd, poha, spices",Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Prawn Masala,"curd, ginger, lemon juice, poha, rice, tomato",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Bhindi Fry,"capsicum, chole, curd, palak, spices",Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Rajma,"curd, egg, ginger, lemon juice, mushroom, pasta",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Rajma,"bread, green chili, palak, pepper, rajma, spices",Veg
Keema Pav,"bread, lemon juice, oil, pepper, potato, rajma, salt, spices",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Cheese Sandwich,"mustard seeds, potato, salt, soy sauce, spices",Veg
Butter Chicken,"chicken, egg, ginger, onion, paneer, pepper",Non-Veg
Chicken Noodles,"butter, paneer, pasta, poha, potato",Non-Veg
Chicken Cutlet,"chicken, chole, curd, ginger, paneer, pepper, potato, spices",Non-Veg
Butter Chicken,"butter, eggs, ginger, lemon juice, onion",Non-Veg
Aloo Paratha,"garlic, palak, pepper, potato, soy sauce",Veg
Matar Paneer,"bread, mustard seeds, pasta, rice, tomato",Veg
Chole,"bread, chicken, chole, green chili, yogurt",Veg
Chicken Noodles,"garlic, oil, paneer, pepper, yogurt",Non-Veg
Cheese Sandwich,"capsicum, green chili, lemon juice, mushroom, mustard seeds, poha, potato, soy sauce",Veg
Vegetable Pulao,"chole, curd, lemon juice, oil, rajma, soy sauce, spices",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Aloo Paratha,"eggs, green chili, palak, pepper, soy sauce, spices, yogurt",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Matar Paneer,"egg, eggs, lemon juice, mayonnaise, mustard seeds, potato, yogurt",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Chicken Cutlet,"mushroom, mustard seeds, palak, paneer, tomato",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Prawn Masala,"bread, ginger, green chili, mayonnaise, pepper, potato, rice, spices",Non-Veg
Chole,"chicken, eggs, ginger, mushroom, pasta, potato, rajma",Non-Veg
Keema Pav,"curd, garlic, ginger, mayonnaise, palak, spices, tomato",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Rajma,"capsicum, chicken, chole, eggs, rice, salt, soy sauce",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Egg Bhurji,"egg, eggs, poha, tomato, yogurt",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Butter Chicken,"chicken, chole, green chili, potato, tomato",Non-Veg
Prawn Masala,"bread, butter, chole, ginger, green chili, lemon juice, mushroom",Non-Veg
Chicken Soup,"chicken, chole, egg, ginger, mayonnaise, oil, onion",Non-Veg
Fish Curry,"chole, curd, lemon juice, onion, pasta",Non-Veg
Chicken Soup,"butter, capsicum, chicken, green chili, palak, pasta",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Mutton Rogan Josh,"butter, chicken, paneer, poha, yogurt",Non-Veg
Rajma,"chicken, pasta, pepper, rice, yogurt",Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Matar Paneer,"garlic, lemon juice, mustard seeds, palak, poha",Veg
Mutton Rogan Josh,"bread, chole, ginger, lemon juice, mustard seeds, paneer",Non-Veg
Egg Sandwich,"bread, eggs, mayonnaise, pepper, salt",Non-Veg
Bhindi Fry,"capsicum, mayonnaise, mushroom, palak, paneer, poha, rice, yogurt",Veg
Grilled Veggie Wrap,"chole, lemon juice, mayonnaise, mushroom, oil, onion, rajma, rice",Veg
Grilled Veggie Wrap,"bread, eggs, ginger, mushroom, pasta, rice",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Butter Chicken,"curd, palak, pasta, rajma, yogurt",Non-Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Veg Biryani,"curd, egg, pepper, rajma, soy sauce",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Chicken Noodles,"lemon juice, mustard seeds, palak, pepper, rajma, rice, spices, tomato",Non-Veg
Chicken Cutlet,"mayonnaise, oil, pasta, spices, tomato",Non-Veg
Egg Bhurji,"curd, green chili, oil, onion, paneer, poha, potato",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Chicken Cutlet,"butter, capsicum, egg, lemon juice, mayonnaise, mushroom, mustard seeds",Non-Veg
Mutton Rogan Josh,"capsicum, eggs, garlic, ginger, mustard seeds, paneer, rajma",Non-Veg
Prawn Masala,"curd, lemon juice, mayonnaise, pasta, soy sauce, yogurt",Non-Veg
Fish Fry,"chicken, garlic, oil, paneer, salt, tomato",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Butter Chicken,"chicken, egg, palak, pasta, yogurt",Non-Veg
Mushroom Rice,"garlic, mushroom, oil, onion, pepper, rice, salt",Veg
Fish Curry,"capsicum, mayonnaise, mushroom, mustard seeds, palak, potato, salt",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Chicken Soup,"chole, curd, lemon juice, mushroom, mustard seeds, onion, palak, soy sauce",Non-Veg
Vegetable Pulao,"ginger, lemon juice, palak, poha, tomato, yogurt",Veg
Mutton Rogan Josh,"chicken, curd, lemon juice, mustard seeds, potato, rajma, rice",Non-Veg
Upma,"curd, pasta, pepper, potato, soy sauce, tomato",Veg
Aloo Paratha,"chicken, curd, ginger, palak, paneer, rajma, rice, spices",Veg
Butter Chicken,"eggs, green chili, onion, palak, poha, rajma, soy sauce",Non-Veg
Chole,"butter, chicken, eggs, onion, paneer, potato",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Chicken Noodles,"curd, garlic, ginger, mayonnaise, oil, potato, rice",Non-Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Prawn Masala,"capsicum, chole, garlic, onion, pasta, rice, yogurt",Non-Veg
Dal Tadka,"bread, chicken, rice, salt, yogurt",Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Paneer Bhurji,"green chili, oil, onion, paneer, salt, spices, tomato",Veg
Dal Tadka,"bread, butter, chole, garlic, mushroom",Veg
